1549292008.91,1549292011.15,2_0,2_1,5_1,9_0,6_1,2_0,2_1,5_1,9_0,6_1,2_0,2_1,5_1,9_0,6_1,1549292009.30459,1549292016.439316,2_0,False,1549292016.439371,1549292016.439371
1549292022.93,1549292024.38,2_1,2_0,5_1,9_0,6_4,2_1,2_0,5_1,9_0,6_4,2_1,2_0,5_1,9_0,6_4,1549292022.538106,1549292024.292804,2_1,False,1549292024.29287,1549292024.29287
1549292034.91,1549292037.12,1_1,5_1,6_3,5_3,9_0,1_1,5_1,6_3,10_1,9_0,2_2,1_1,5_1,6_3,10_1,1549292035.278214,1549292037.235612,2_2,False,1549292037.235681,1549292037.235681
1549292045.26,1549292046.65,1_1,6_3,9_0,5_1,5_3,1_1,6_3,9_0,5_1,10_1,2_2,1_1,6_3,9_0,5_1,1549292044.823638,1549292046.361327,2_2,False,1549292046.361384,1549292046.361384
1549292058.26,1549292062.08,5_3,9_0,6_2,2_0,5_2,10_1,9_0,6_2,2_0,5_2,10_1,9_0,6_2,2_0,5_2,1549292060.250764,1549292065.633268,2_0,False,1549292065.633321,1549292065.633321
1549292076.56,1549292077.88,2_1,9_0,2_0,5_1,6_4,2_1,9_0,2_0,5_1,6_4,2_1,9_0,2_0,5_1,6_4,1549292076.03564,1549292077.787266,2_1,False,1549292077.787325,1549292077.787325
1549292095.49,1549292096.99,6_4,9_0,1_2,2_0,2_1,6_4,9_0,1_2,2_0,2_1,9_2,6_4,9_0,1_2,2_0,1549292095.151542,1549292098.970013,1_2,False,1549292098.970064,1549292098.970064
1549292109.73,1549292111.12,6_4,9_0,1_2,5_3,5_2,6_4,9_0,1_2,10_1,5_2,9_2,6_4,9_0,1_2,10_1,1549292109.269207,1549292113.044724,1_2,False,1549292113.044773,1549292113.044773
1549292119.85,1549292121.99,6_3,1_1,9_0,10_2,5_3,6_3,1_1,9_0,10_2,10_1,9_1,6_3,1_1,9_0,10_2,1549292120.153506,1549292123.040891,1_1,False,1549292123.041052,1549292123.041052
1549292128.99,1549292130.19,1_1,6_3,5_3,5_1,4_1,1_1,6_3,10_1,5_1,4_1,2_2,1_1,6_3,10_1,5_1,1549292128.352125,1549292136.853499,1_1,False,1549292136.853549,1549292136.853549
1549292142.56,1549292143.82,1_1,6_3,5_3,5_1,9_0,1_1,6_3,10_1,5_1,9_0,2_2,1_1,6_3,10_1,5_1,1549292141.978346,1549292144.166892,1_1,False,1549292144.166939,1549292144.166939
1549292157.05,1549292158.15,1_1,5_3,6_3,5_1,9_0,1_1,10_1,6_3,5_1,9_0,2_2,1_1,10_1,6_3,5_1,1549292156.321095,1549292158.301698,1_1,False,1549292158.301807,1549292158.301807
1549292208.85,1549292209.91,9_0,5_3,5_1,6_4,6_3,9_0,10_1,5_1,6_4,6_3,10_0,9_0,10_1,5_1,6_4,1549292208.087009,1549292210.541359,10_0,False,1549292210.541419,1549292210.541419
1549292214.02,1549292215.21,5_3,9_0,5_1,6_3,5_2,10_1,9_0,5_1,6_3,5_2,10_1,9_0,5_1,6_3,5_2,1549292213.383537,1549292228.204148,6_4,True,1549292228.204254,1549292228.204254
1549292255.67,1549292256.91,9_0,5_3,5_2,1_1,6_3,9_0,10_1,5_2,1_1,6_3,10_0,9_0,10_1,5_2,1_1,1549292255.085737,1549292257.950672,10_0,False,1549292257.950719,1549292257.950719
1549292261.88,1549292264.76,9_0,5_3,2_0,5_2,6_3,9_0,10_1,2_0,5_2,6_3,10_0,9_0,10_1,2_0,5_2,1549292262.917536,1549292266.991965,10_0,False,1549292266.992082,1549292266.992082
1549292270.59,1549292271.99,9_0,5_3,5_2,10_3,4_1,9_0,10_1,5_2,10_3,4_1,10_0,9_0,10_1,5_2,10_3,1549292270.147624,1549292276.869285,10_3,False,1549292276.869359,1549292276.869359
