2018-05-13 12:38:59.737000

10_1_S2_L6_X_OnePanel.xef :  [num_images: 923, video_time: 91.37, FPS: 10]
10_2_S2_L6_X_TwoPanels.xef :  [num_images: 822, video_time: 84.47, FPS: 9]
10_3_S2_L6_X_ThreePanels.xef :  [num_images: 935, video_time: 92.11, FPS: 10]
10_4_S2_L6_X_FourPanels.xef :  [num_images: 1020, video_time: 103.94, FPS: 9]
11_1_S2_L6_X_StdOne.xef :  [num_images: 995, video_time: 100.91, FPS: 9]
11_2_S2_L6_X_StdTwo.xef :  [num_images: 861, video_time: 87.06, FPS: 9]
1_1_S2_L6_Scroll_Up.xef :  [num_images: 1143, video_time: 109.16, FPS: 10]
1_2_S2_L6_Scroll_Down.xef :  [num_images: 1637, video_time: 138.72, FPS: 11]
2_0_S2_L6_Flip_X.xef :  [num_images: 2050, video_time: 189.2, FPS: 10]
2_1_S2_L6_X_Horizontal.xef :  [num_images: 1736, video_time: 162.11, FPS: 10]
2_2_S2_L6_X_Vertical.xef :  [num_images: 1831, video_time: 175.9, FPS: 10]
3_1_S2_L6_Rotate_CW.xef :  [num_images: 2266, video_time: 198.94, FPS: 11]
3_2_S2_L6_Rotate_CCW.xef :  [num_images: 2108, video_time: 180.14, FPS: 11]
4_1_S2_L6_Zoom_In.xef :  [num_images: 170, video_time: 17.08, FPS: 9]
4_2_S2_L6_Zoom_Out.xef :  [num_images: 168, video_time: 17.59, FPS: 9]
5_1_S2_L6_SwitchPanel_Left.xef :  [num_images: 776, video_time: 101.09, FPS: 7]
5_2_S2_L6_SwitchPanel_Right.xef :  [num_images: 618, video_time: 84.72, FPS: 7]
5_3_S2_L6_SwitchPanel_Up.xef :  [num_images: 750, video_time: 98.84, FPS: 7]
5_4_S2_L6_SwitchPanel_Down.xef :  [num_images: 171, video_time: 19.04, FPS: 8]
6_1_S2_L6_Pan_Left.xef :  [num_images: 1170, video_time: 112.11, FPS: 10]
6_2_S2_L6_Pan_Right.xef :  [num_images: 1197, video_time: 118.09, FPS: 10]
6_3_S2_L6_Pan_Up.xef :  [num_images: 1154, video_time: 111.78, FPS: 10]
6_4_S2_L6_Pan_Down.xef :  [num_images: 1299, video_time: 128.22, FPS: 10]
7_1_S2_L6_Ruler_Measure.xef :  [num_images: 1164, video_time: 118.22, FPS: 9]
7_2_S2_L6_Ruler_Delete.xef :  [num_images: 1272, video_time: 123.11, FPS: 10]
8_1_S2_L6_PIW_Open.xef :  [num_images: 1091, video_time: 108.22, FPS: 10]
9_0_S2_L6_ManualContrast_X.xef :  [num_images: 1002, video_time: 96.28, FPS: 10]
