2018-06-06 15:19:16.267000

10_2_S1_L6_X_TwoPanels.xef :  [num_images: 2021, video_time: 110.46, FPS: 18]
10_3_S1_L6_X_ThreePanels.xef :  [num_images: 2121, video_time: 114.58, FPS: 18]
10_4_S1_L6_X_FourPanels.xef :  [num_images: 2120, video_time: 109.58, FPS: 19]
11_1_S1_L6_X_StdOne.xef :  [num_images: 1982, video_time: 103.38, FPS: 19]
11_2_S1_L6_X_StdTwo.xef :  [num_images: 2053, video_time: 109.9, FPS: 18]
1_1_S1_L6_Scroll_Up.xef :  [num_images: 2348, video_time: 120.81, FPS: 19]
1_2_S1_L6_Scroll_Down.xef :  [num_images: 2219, video_time: 134.55, FPS: 16]
2_0_S1_L6_Flip_X.xef :  [num_images: 2243, video_time: 149.45, FPS: 15]
2_1_S1_L6_X_Horizontal.xef :  [num_images: 2139, video_time: 136.17, FPS: 15]
3_1_S1_L6_Rotate_CW.xef :  [num_images: 2144, video_time: 139.84, FPS: 15]
3_2_S1_L6_Rotate_CCW.xef :  [num_images: 1969, video_time: 127.9, FPS: 15]
4_1_S1_L6_Zoom_In.xef :  [num_images: 2004, video_time: 129.23, FPS: 15]
4_2_S1_L6_Zoom_Out.xef :  [num_images: 2002, video_time: 130.41, FPS: 15]
5_1_S1_L6_SwitchPanel_Left.xef :  [num_images: 2280, video_time: 148.57, FPS: 15]
5_2_S1_L6_SwitchPanel_Right.xef :  [num_images: 2324, video_time: 151.73, FPS: 15]
5_3_S1_L6_SwitchPanel_Up.xef :  [num_images: 2373, video_time: 141.93, FPS: 16]
5_4_S1_L6_SwitchPanel_Down.xef :  [num_images: 2194, video_time: 125.25, FPS: 17]
6_1_S1_L6_Pan_Left.xef :  [num_images: 2453, video_time: 137.85, FPS: 17]
6_2_S1_L6_Pan_Right.xef :  [num_images: 2246, video_time: 110.19, FPS: 20]
6_3_S1_L6_Pan_Up.xef :  [num_images: 2330, video_time: 128.05, FPS: 18]
6_4_S1_L6_Pan_Down.xef :  [num_images: 2397, video_time: 138.32, FPS: 17]
7_1_S1_L6_Ruler_Measure.xef :  [num_images: 2293, video_time: 130.65, FPS: 17]
8_1_S1_L6_PIW_Open.xef :  [num_images: 2200, video_time: 125.18, FPS: 17]
9_0_S1_L6_ManualContrast_X.xef :  [num_images: 2173, video_time: 135.76, FPS: 16]
