2018-06-19 19:15:09.785000

10_0_S2_L8_Layout_X.xef :  [num_images: 1556, video_time: 76.6599996872, FPS: 20]
10_1_S2_L8_X_OnePanel.xef :  [num_images: 2247, video_time: 119.367999964, FPS: 18]
10_2_S2_L8_X_TwoPanels.xef :  [num_images: 1658, video_time: 99.3129998817, FPS: 16]
10_3_S2_L8_X_ThreePanels.xef :  [num_images: 1938, video_time: 113.413999916, FPS: 17]
10_4_S2_L8_X_FourPanels.xef :  [num_images: 1877, video_time: 111.810999569, FPS: 16]
11_0_S2_L8_ContrastPresets_X.xef :  [num_images: 1878, video_time: 110.977000097, FPS: 16]
1_1_S2_L8_Scroll_Up.xef :  [num_images: 1627, video_time: 66.9270002308, FPS: 24]
1_2_S2_L8_Scroll_Down.xef :  [num_images: 1686, video_time: 74.2839998493, FPS: 22]
2_0_S2_L8_Flip_Horizontal.xef :  [num_images: 2280, video_time: 111.13900012, FPS: 20]
2_1_S2_L8_Flip_Vertical.xef :  [num_images: 1829, video_time: 86.6220003147, FPS: 21]
3_1_S2_L8_Rotate_CW.xef :  [num_images: 1875, video_time: 89.5420000191, FPS: 20]
3_2_S2_L8_Rotate_CCW.xef :  [num_images: 1994, video_time: 97.8829998856, FPS: 20]
4_1_S2_L8_Zoom_In.xef :  [num_images: 1752, video_time: 86.4149996834, FPS: 20]
4_2_S2_L8_Zoom_Out.xef :  [num_images: 2286, video_time: 113.073000019, FPS: 20]
5_1_S2_L8_SwitchPanel_Left.xef :  [num_images: 2061, video_time: 107.99600005, FPS: 19]
5_2_S2_L8_SwitchPanel_Right.xef :  [num_images: 1786, video_time: 95.9259997883, FPS: 18]
5_3_S2_L8_SwitchPanel_Up.xef :  [num_images: 2015, video_time: 111.485000027, FPS: 18]
5_4_S2_L8_SwitchPanel_Down.xef :  [num_images: 1673, video_time: 95.0970000973, FPS: 17]
6_1_S2_L8_Pan_Left.xef :  [num_images: 1852, video_time: 103.830000162, FPS: 17]
6_2_S2_L8_Pan_Right.xef :  [num_images: 1844, video_time: 104.052999887, FPS: 17]
6_3_S2_L8_Pan_Up.xef :  [num_images: 1906, video_time: 110.336000031, FPS: 17]
6_4_S2_L8_Pan_Down.xef :  [num_images: 2107, video_time: 107.125000298, FPS: 19]
7_1_S2_L8_Ruler_Measure.xef :  [num_images: 1772, video_time: 85.4119998054, FPS: 20]
7_2_S2_L8_Ruler_Delete.xef :  [num_images: 1743, video_time: 85.4660000324, FPS: 20]
8_1_S2_L8_PIW_Open.xef :  [num_images: 1609, video_time: 78.677000309, FPS: 20]
8_2_S2_L8_PIW_Close.xef :  [num_images: 1961, video_time: 96.6460001984, FPS: 20]
9_1_S2_L8_ManualContrast_Increase.xef :  [num_images: 1963, video_time: 96.266999815, FPS: 20]
9_2_S2_L8_ManualContrast_Decrease.xef :  [num_images: 400, video_time: 19.9159999027, FPS: 20]
