2018-07-04 15:15:23.762000

5_3_S1_L3_X_Down.xef :  [num_images: 2168, video_time: 76.1890000496, FPS: 28]
10_0_S2_L2_Layout_X.xef :  [num_images: 2391, video_time: 90.1429999523, FPS: 26]
10_1_S2_L2_X_OnePanel.xef :  [num_images: 2420, video_time: 92.1610001659, FPS: 26]
10_2_S2_L2_X_TwoPanels.xef :  [num_images: 2567, video_time: 95.6759999409, FPS: 26]
10_3_S2_L2_X_ThreePanels.xef :  [num_images: 2634, video_time: 103.287999638, FPS: 25]
10_4_S2_L2_X_FourPanels.xef :  [num_images: 2948, video_time: 105.205000229, FPS: 28]
11_0_S2_L2_ContrastPresets_X.xef :  [num_images: 1860, video_time: 68.998000206, FPS: 26]
11_2_S2_L2_X_StdTwo.xef :  [num_images: 1032, video_time: 38.7069997654, FPS: 26]
1_1_S2_L2_Scroll_Up.xef :  [num_images: 683, video_time: 35.9689999084, FPS: 18]
1_2_S2_L2_Scroll_Down.xef :  [num_images: 784, video_time: 40.464999855, FPS: 19]
5_0_S2_L2_SwitchPanel_X.xef :  [num_images: 951, video_time: 42.7320002022, FPS: 22]
5_1_S2_L2_X_Left.xef :  [num_images: 658, video_time: 34.1680001736, FPS: 19]
5_2_S2_L2_X_Right.xef :  [num_images: 770, video_time: 41.3739999409, FPS: 18]
5_3_S2_L2_X_Up.xef :  [num_images: 1248, video_time: 43.9199999294, FPS: 28]
5_4_S2_L2_X_Down.xef :  [num_images: 770, video_time: 40.6480001488, FPS: 18]
6_0_S2_L2_Pan_X.xef :  [num_images: 1426, video_time: 59.6630002766, FPS: 23]
6_1_S2_L2_X_Left.xef :  [num_images: 1326, video_time: 55.0919997292, FPS: 24]
6_2_S2_L2_X_Right.xef :  [num_images: 1250, video_time: 51.1169997177, FPS: 24]
6_3_S2_L2_X_Up.xef :  [num_images: 1171, video_time: 48.8510004482, FPS: 23]
6_4_S2_L2_X_Down.xef :  [num_images: 1613, video_time: 63.8770001564, FPS: 25]
7_1_S2_L2_Ruler_Measure.xef :  [num_images: 2679, video_time: 92.1009999962, FPS: 29]
