2018-07-28 19:14:24.982000

2_0_S1_L10_Flip_X.xef :  [num_images: 1390, video_time: 66.6439998894, FPS: 20]
2_1_S1_L10_X_Horizontal.xef :  [num_images: 1557, video_time: 75.6510000229, FPS: 20]
2_2_S1_L10_X_Vertical.xef :  [num_images: 1447, video_time: 69.2370001736, FPS: 20]
11_1_S1_L11_ContrastPresets_StdOne.xef :  [num_images: 1390, video_time: 66.3610000935, FPS: 20]
11_2_S1_L11_ContrastPresets_StdTwo.xef :  [num_images: 1241, video_time: 59.7820000801, FPS: 20]
2_0_S1_L11_Flip_X.xef :  [num_images: 1676, video_time: 81.2559998665, FPS: 20]
2_1_S1_L11_Flip_Horizontal.xef :  [num_images: 1549, video_time: 74.3969998188, FPS: 20]
7_1_S1_L11_Ruler_Measure.xef :  [num_images: 1466, video_time: 71.0049999027, FPS: 20]
7_2_S1_L11_Ruler_Delete.xef :  [num_images: 1391, video_time: 66.2970001583, FPS: 20]
9_1_S1_L11_ManualContrast_Increase.xef :  [num_images: 1815, video_time: 87.3439999676, FPS: 20]
9_2_S1_L11_ManualContrast_Decrease.xef :  [num_images: 1370, video_time: 66.0890000534, FPS: 20]
10_0_S1_L2_Layout_X.xef :  [num_images: 2344, video_time: 99.222000309, FPS: 23]
10_1_S1_L2_X_OnePanel.xef :  [num_images: 2503, video_time: 104.368000187, FPS: 23]
10_2_S1_L2_X_TwoPanels.xef :  [num_images: 2492, video_time: 106.474000145, FPS: 23]
10_3_S1_L2_X_ThreePanels.xef :  [num_images: 3038, video_time: 128.395999866, FPS: 23]
10_4_S1_L2_X_FourPanels.xef :  [num_images: 3170, video_time: 136.659000053, FPS: 23]
11_0_S1_L2_ContrastPresets_X.xef :  [num_images: 1949, video_time: 83.2480001793, FPS: 23]
11_2_S1_L2_X_StdTwo.xef :  [num_images: 1429, video_time: 60.350999836, FPS: 23]
1_1_S1_L2_Scroll_Up.xef :  [num_images: 1636, video_time: 70.4489995899, FPS: 23]
1_2_S1_L2_Scroll_Down.xef :  [num_images: 1746, video_time: 77.7050000706, FPS: 22]
2_1_S1_L2_Flip_Horizontal.xef :  [num_images: 1780, video_time: 78.0139998093, FPS: 22]
2_2_S1_L2_Flip_Vertical.xef :  [num_images: 1785, video_time: 78.8210004864, FPS: 22]
3_1_S1_L2_Rotate_CW.xef :  [num_images: 1751, video_time: 81.6750002804, FPS: 21]
3_2_S1_L2_Rotate_CCW.xef :  [num_images: 1795, video_time: 80.2420001354, FPS: 22]
4_1_S1_L2_Zoom_In.xef :  [num_images: 1575, video_time: 66.7359996033, FPS: 23]
4_2_S1_L2_Zoom_Out.xef :  [num_images: 1731, video_time: 75.5350000572, FPS: 22]
5_0_S1_L2_SwitchPanel_X.xef :  [num_images: 1980, video_time: 88.2989997959, FPS: 22]
5_1_S1_L2_X_Left.xef :  [num_images: 1370, video_time: 60.870000082, FPS: 22]
5_2_S1_L2_X_Right.xef :  [num_images: 1678, video_time: 71.7139997616, FPS: 23]
5_3_S1_L2_X_Up.xef :  [num_images: 1691, video_time: 75.2500002079, FPS: 22]
5_4_S1_L2_X_Down.xef :  [num_images: 1606, video_time: 71.0700000343, FPS: 22]
6_0_S1_L2_Pan_X.xef :  [num_images: 1659, video_time: 73.0100002003, FPS: 22]
6_1_S1_L2_X_Left.xef :  [num_images: 1745, video_time: 77.6599997768, FPS: 22]
6_2_S1_L2_X_Right.xef :  [num_images: 1797, video_time: 81.5490000534, FPS: 22]
6_3_S1_L2_X_Up.xef :  [num_images: 1892, video_time: 84.3099999275, FPS: 22]
6_4_S1_L2_X_Down.xef :  [num_images: 1729, video_time: 74.7100000439, FPS: 23]
7_1_S1_L2_Ruler_Measure.xef :  [num_images: 3019, video_time: 137.535000181, FPS: 21]
7_2_S1_L2_Ruler_Delete.xef :  [num_images: 1885, video_time: 85.0670000534, FPS: 22]
8_1_S1_L2_PIW_Open.xef :  [num_images: 1624, video_time: 74.3000000153, FPS: 21]
8_2_S1_L2_PIW_Close.xef :  [num_images: 1820, video_time: 80.2539999161, FPS: 22]
9_0_S1_L2_ManualContrast_X.xef :  [num_images: 1869, video_time: 84.2400000801, FPS: 22]
9_1_S1_L2_X_Increase.xef :  [num_images: 1483, video_time: 65.9249998703, FPS: 22]
9_2_S1_L2_X_Decrease.xef :  [num_images: 1510, video_time: 72.7719999485, FPS: 20]
10_0_S1_L3_Layout_X.xef :  [num_images: 1791, video_time: 70.9820001469, FPS: 25]
10_1_S1_L3_X_OnePanel.xef :  [num_images: 1561, video_time: 62.570000185, FPS: 24]
10_2_S1_L3_X_TwoPanels.xef :  [num_images: 1807, video_time: 74.2540000038, FPS: 24]
10_3_S1_L3_X_ThreePanels.xef :  [num_images: 1966, video_time: 83.9299999886, FPS: 23]
10_4_S1_L3_X_FourPanels.xef :  [num_images: 1843, video_time: 77.7290001488, FPS: 23]
11_0_S1_L3_ContrastPresets_X.xef :  [num_images: 1853, video_time: 68.8010001087, FPS: 26]
1_0_S1_L3_Scroll_X.xef :  [num_images: 1953, video_time: 74.1259999695, FPS: 26]
1_1_S1_L3_X_Up.xef :  [num_images: 1939, video_time: 71.7580003242, FPS: 27]
1_2_S1_L3_X_Down.xef :  [num_images: 1783, video_time: 72.2770000515, FPS: 24]
2_0_S1_L3_Flip_X.xef :  [num_images: 2556, video_time: 96.1960004024, FPS: 26]
2_1_S1_L3_X_Horizontal.xef :  [num_images: 1832, video_time: 70.0720002117, FPS: 26]
2_2_S1_L3_X_Vertical.xef :  [num_images: 2011, video_time: 79.2770000896, FPS: 25]
3_0_S1_L3_Rotate_X.xef :  [num_images: 2077, video_time: 76.1559999561, FPS: 27]
3_1_S1_L3_X_CW.xef :  [num_images: 2011, video_time: 74.4739998817, FPS: 27]
3_2_S1_L3_X_CCW.xef :  [num_images: 1868, video_time: 75.6800000668, FPS: 24]
4_0_S1_L3_Zoom_X.xef :  [num_images: 2133, video_time: 81.1959999924, FPS: 26]
4_1_S1_L3_X_In.xef :  [num_images: 1729, video_time: 63.324999773, FPS: 27]
4_2_S1_L3_X_Out.xef :  [num_images: 2181, video_time: 79.4750001297, FPS: 27]
5_0_S1_L3_SwitchPanel_X.xef :  [num_images: 2231, video_time: 87.0819999123, FPS: 25]
5_1_S1_L3_X_Left.xef :  [num_images: 2016, video_time: 77.4860000687, FPS: 26]
5_2_S1_L3_X_Right.xef :  [num_images: 2318, video_time: 86.6490003853, FPS: 26]
5_3_S1_L3_X_Up.xef :  [num_images: 2169, video_time: 78.5260001278, FPS: 27]
5_4_S1_L3_X_Down.xef :  [num_images: 2094, video_time: 86.9489999847, FPS: 24]
6_0_S1_L3_Pan_X.xef :  [num_images: 2076, video_time: 78.817000042, FPS: 26]
6_1_S1_L3_X_Left.xef :  [num_images: 2114, video_time: 78.6400000439, FPS: 26]
6_2_S1_L3_X_Right.xef :  [num_images: 2079, video_time: 75.9470000324, FPS: 27]
6_3_S1_L3_X_Up.xef :  [num_images: 2076, video_time: 74.9999999657, FPS: 27]
6_4_S1_L3_X_Down.xef :  [num_images: 1920, video_time: 70.2820002117, FPS: 27]
7_1_S1_L3_Ruler_Measure.xef :  [num_images: 2353, video_time: 87.1080002995, FPS: 27]
7_2_S1_L3_Ruler_Delete.xef :  [num_images: 2164, video_time: 79.5339999619, FPS: 27]
8_0_S1_L3_PIW_X.xef :  [num_images: 2539, video_time: 107.426999817, FPS: 23]
8_1_S1_L3_X_Open.xef :  [num_images: 1920, video_time: 72.6930000782, FPS: 26]
8_2_S1_L3_X_Close.xef :  [num_images: 1843, video_time: 70.6270001183, FPS: 26]
9_0_S1_L3_ManualContrast_X.xef :  [num_images: 1755, video_time: 70.4950000267, FPS: 24]
9_1_S1_L3_X_Increase.xef :  [num_images: 1946, video_time: 72.7810001373, FPS: 26]
9_2_S1_L3_X_Decrease.xef :  [num_images: 1865, video_time: 68.3770000401, FPS: 27]
10_2_S1_L6_X_TwoPanels.xef :  [num_images: 2022, video_time: 70.8739999542, FPS: 28]
10_3_S1_L6_X_ThreePanels.xef :  [num_images: 2114, video_time: 74.3339994106, FPS: 28]
10_4_S1_L6_X_FourPanels.xef :  [num_images: 2113, video_time: 81.1790002861, FPS: 26]
11_1_S1_L6_X_StdOne.xef :  [num_images: 1977, video_time: 69.7200002728, FPS: 28]
11_2_S1_L6_X_StdTwo.xef :  [num_images: 2052, video_time: 79.0530000134, FPS: 25]
1_1_S1_L6_Scroll_Up.xef :  [num_images: 2353, video_time: 84.0420002422, FPS: 27]
