2018-07-30 18:21:05.998000

6_0_S1_L2_Pan_X.xef :  [num_images: 1655, video_time: 83.6270000706, FPS: 19]
4_2_S4_L2_Zoom_Out.xef :  [num_images: 1726, video_time: 96.4640000191, FPS: 17]
5_0_S4_L2_SwitchPanel_X.xef :  [num_images: 1658, video_time: 92.9809996777, FPS: 17]
5_1_S4_L2_X_Left.xef :  [num_images: 1793, video_time: 100.049999973, FPS: 17]
5_2_S4_L2_X_Right.xef :  [num_images: 1232, video_time: 71.1499995289, FPS: 17]
5_3_S4_L2_X_Up.xef :  [num_images: 1266, video_time: 73.7660000229, FPS: 17]
5_4_S4_L2_X_Down.xef :  [num_images: 1701, video_time: 93.4609998455, FPS: 18]
6_0_S4_L2_Pan_X.xef :  [num_images: 1700, video_time: 93.124999855, FPS: 18]
6_1_S4_L2_X_Left.xef :  [num_images: 1685, video_time: 93.588999958, FPS: 18]
6_2_S4_L2_X_Right.xef :  [num_images: 1484, video_time: 83.1509999256, FPS: 17]
6_3_S4_L2_X_Up.xef :  [num_images: 1598, video_time: 89.8820001965, FPS: 17]
6_4_S4_L2_X_Down.xef :  [num_images: 1733, video_time: 96.5399997978, FPS: 17]
7_1_S4_L2_Ruler_Measure.xef :  [num_images: 1903, video_time: 106.687000217, FPS: 17]
7_2_S4_L2_Ruler_Delete.xef :  [num_images: 2147, video_time: 121.038000391, FPS: 17]
8_1_S4_L2_PIW_Open.xef :  [num_images: 1717, video_time: 96.5489998283, FPS: 17]
8_2_S4_L2_PIW_Close.xef :  [num_images: 1518, video_time: 85.9710004272, FPS: 17]
9_0_S4_L2_ManualContrast_X.xef :  [num_images: 1893, video_time: 105.057000408, FPS: 18]
9_1_S4_L2_X_Increase.xef :  [num_images: 1652, video_time: 92.2229999714, FPS: 17]
9_2_S4_L2_X_Decrease.xef :  [num_images: 1647, video_time: 92.7699997692, FPS: 17]
10_0_S4_L3_Layout_X.xef :  [num_images: 1488, video_time: 84.7770001888, FPS: 17]
10_1_S4_L3_X_OnePanel.xef :  [num_images: 1257, video_time: 71.1450001106, FPS: 17]
10_2_S4_L3_X_TwoPanels.xef :  [num_images: 1213, video_time: 69.4599998741, FPS: 17]
10_3_S4_L3_X_ThreePanels.xef :  [num_images: 1317, video_time: 75.21, FPS: 17]
10_4_S4_L3_X_FourPanels.xef :  [num_images: 1357, video_time: 77.9049999199, FPS: 17]
11_0_S4_L3_ContrastPresets_X.xef :  [num_images: 1484, video_time: 84.8719994659, FPS: 17]
1_0_S4_L3_Scroll_X.xef :  [num_images: 1358, video_time: 79.756, FPS: 17]
1_1_S4_L3_X_Up.xef :  [num_images: 1222, video_time: 70.4299999008, FPS: 17]
1_2_S4_L3_X_Down.xef :  [num_images: 1016, video_time: 60.0150001297, FPS: 16]
2_0_S4_L3_Flip_X.xef :  [num_images: 1319, video_time: 76.4189998474, FPS: 17]
2_1_S4_L3_X_Horizontal.xef :  [num_images: 805, video_time: 45.9629999638, FPS: 17]
2_2_S4_L3_X_Vertical.xef :  [num_images: 852, video_time: 49.6220003738, FPS: 17]
3_0_S4_L3_Rotate_X.xef :  [num_images: 1062, video_time: 60.0490003262, FPS: 17]
3_1_S4_L3_X_CW.xef :  [num_images: 1191, video_time: 69.2370001888, FPS: 17]
3_2_S4_L3_X_CCW.xef :  [num_images: 1130, video_time: 64.9010001144, FPS: 17]
4_0_S4_L3_Zoom_X.xef :  [num_images: 1106, video_time: 65.139000082, FPS: 16]
4_1_S4_L3_X_In.xef :  [num_images: 1128, video_time: 65.0439998055, FPS: 17]
4_2_S4_L3_X_Out.xef :  [num_images: 1270, video_time: 70.853000206, FPS: 17]
5_0_S4_L3_SwitchPanel_X.xef :  [num_images: 1577, video_time: 87.243000145, FPS: 18]
5_1_S4_L3_X_Left.xef :  [num_images: 1446, video_time: 80.9269999351, FPS: 17]
5_2_S4_L3_X_Right.xef :  [num_images: 1357, video_time: 75.1089999142, FPS: 18]
5_3_S4_L3_X_Up.xef :  [num_images: 1700, video_time: 98.6330000019, FPS: 17]
5_4_S4_L3_X_Down.xef :  [num_images: 1578, video_time: 86.836000103, FPS: 18]
6_0_S4_L3_Pan_X.xef :  [num_images: 1468, video_time: 82.1370000248, FPS: 17]
6_1_S4_L3_X_Left.xef :  [num_images: 1506, video_time: 84.7739995155, FPS: 17]
6_2_S4_L3_X_Right.xef :  [num_images: 1603, video_time: 88.5269999962, FPS: 18]
6_3_S4_L3_X_Up.xef :  [num_images: 1547, video_time: 84.9690001316, FPS: 18]
6_4_S4_L3_X_Down.xef :  [num_images: 1336, video_time: 74.7170000782, FPS: 17]
7_1_S4_L3_X_Measure.xef :  [num_images: 1860, video_time: 103.829999683, FPS: 17]
7_2_S4_L3_X_Delete.xef :  [num_images: 1741, video_time: 98.2039998646, FPS: 17]
8_0_S4_L3_PIW_X.xef :  [num_images: 2087, video_time: 119.574000374, FPS: 17]
8_1_S4_L3_X_Open.xef :  [num_images: 1265, video_time: 72.020000473, FPS: 17]
8_2_S4_L3_X_Close.xef :  [num_images: 1537, video_time: 87.2650001373, FPS: 17]
9_0_S4_L3_ManualContrast_X.xef :  [num_images: 1570, video_time: 88.520000042, FPS: 17]
9_1_S4_L3_X_Increase.xef :  [num_images: 1544, video_time: 83.9649994202, FPS: 18]
9_2_S4_L3_X_Decrease.xef :  [num_images: 1601, video_time: 89.6900002632, FPS: 17]
10_2_S4_L6_X_TwoPanels.xef :  [num_images: 1823, video_time: 98.7140002899, FPS: 18]
10_3_S4_L6_X_ThreePanels.xef :  [num_images: 1754, video_time: 97.4710003242, FPS: 17]
10_4_S4_L6_X_FourPanels.xef :  [num_images: 2004, video_time: 111.276000103, FPS: 18]
11_1_S4_L6_X_StdOne.xef :  [num_images: 1619, video_time: 89.9780000439, FPS: 17]
11_2_S4_L6_X_StdTwo.xef :  [num_images: 1472, video_time: 82.7349998035, FPS: 17]
1_1_S4_L6_Scroll_Up.xef :  [num_images: 1674, video_time: 94.5569998283, FPS: 17]
1_2_S4_L6_Scroll_Down.xef :  [num_images: 1634, video_time: 88.655999651, FPS: 18]
2_0_S4_L6_Flip_X.xef :  [num_images: 2606, video_time: 144.579000618, FPS: 18]
2_1_S4_L6_X_Horizontal.xef :  [num_images: 1932, video_time: 102.608000372, FPS: 18]
3_1_S4_L6_Rotate_CW.xef :  [num_images: 2084, video_time: 114.920999798, FPS: 18]
3_2_S4_L6_Rotate_CCW.xef :  [num_images: 1755, video_time: 95.9510002441, FPS: 18]
4_1_S4_L6_Zoom_In.xef :  [num_images: 2175, video_time: 119.555000074, FPS: 18]
