1549313762.01,1549313764.07,2_2,6_4,5_1,1_2,10_1,2_2,6_4,5_1,1_2,10_1,2_2,6_4,5_1,1_2,10_1,1549313761.811121,1549313764.968247,2_2,False,1549313764.968306,1549313764.968306
1549313774.04,1549313775.99,6_4,2_2,10_1,5_1,1_2,6_4,2_2,10_1,5_1,1_2,6_4,2_2,10_1,5_1,1_2,1549313773.747406,1549313777.048424,2_2,False,1549313777.048483,1549313777.048483
1549313787.69,1549313789.71,6_2,2_1,2_2,10_1,10_3,6_2,2_1,2_2,10_1,10_3,6_2,2_1,2_2,10_1,10_3,1549313787.452823,1549313791.320863,2_1,False,1549313791.320923,1549313791.320923
1549313802.54,1549313804.6,2_1,6_2,10_3,1_1,5_0,2_1,6_2,10_3,1_1,5_0,2_1,6_2,10_3,1_1,5_0,1549313802.33788,1549313805.117917,2_1,False,1549313805.11797,1549313805.11797
1549313820.77,1549313824.54,10_0,2_2,6_4,10_3,6_2,10_0,2_2,6_4,10_3,6_2,10_0,2_2,6_4,10_3,6_2,1549313822.279942,1549313825.779899,10_0,False,1549313825.779952,1549313825.779952
1549313829.9,1549313836.74,5_0,10_3,1_2,10_2,2_1,5_0,10_3,1_2,10_2,2_1,5_0,10_3,1_2,10_2,2_1,1549313834.490078,1549313837.866377,10_3,False,1549313837.866442,1549313837.866442
1549313857.94,1549313860.34,2_1,1_1,5_0,1_2,6_3,2_1,1_1,5_0,1_2,6_3,2_1,1_1,5_0,1_2,6_3,1549313858.07653,1549313864.410413,5_0,False,1549313864.410472,1549313864.410472
1549313869.51,1549313870.83,5_1,6_1,6_3,2_1,10_1,5_1,6_1,6_3,2_1,10_1,5_1,6_1,6_3,2_1,10_1,1549313868.572079,1549313873.169531,5_1,False,1549313873.169754,1549313873.169754
1549313878.63,1549313881.07,1_1,6_3,6_0,5_0,5_1,1_1,6_3,6_0,5_0,5_1,1_1,6_3,6_0,5_0,5_1,1549313878.808486,1549313880.882843,1_1,False,1549313880.882899,1549313880.882899
1549313888.46,1549313890.37,1_1,1_2,5_0,6_0,5_1,1_1,1_2,5_0,6_0,5_1,1_1,1_2,5_0,6_0,5_1,1549313888.104294,1549313890.133311,1_1,False,1549313890.133369,1549313890.133369
1549313899.84,1549313902.04,1_1,2_1,5_0,1_2,6_3,1_1,2_1,5_0,1_2,6_3,1_1,2_1,5_0,1_2,6_3,1549313899.77702,1549313903.631176,5_0,False,1549313903.631215,1549313903.631215
1549313908.07,1549313909.54,5_2,6_2,5_0,6_0,10_1,5_2,6_2,5_0,6_0,10_1,5_2,6_2,5_0,6_0,10_1,1549313907.27511,1549313909.269963,5_2,False,1549313909.270051,1549313909.270051
1549313913.9,1549313915.22,5_2,6_2,10_3,10_1,5_0,5_2,6_2,10_3,10_1,5_0,5_2,6_2,10_3,10_1,5_0,1549313912.97758,1549313914.522887,5_2,False,1549313914.522951,1549313914.522951
1549313919.8,1549313921.57,1_1,5_0,1_2,6_3,6_0,1_1,5_0,1_2,6_3,6_0,1_1,5_0,1_2,6_3,6_0,1549313919.303492,1549313921.022277,1_1,False,1549313921.02233,1549313921.02233
1549313929.6,1549313931.24,5_0,1_1,6_0,1_2,6_3,5_0,1_1,6_0,1_2,6_3,5_0,1_1,6_0,1_2,6_3,1549313928.979008,1549313932.875027,1_1,False,1549313932.875162,1549313932.875162
1549313945.43,1549313947.4,4_1,9_2,4_2,9_1,9_0,4_1,9_2,4_2,9_1,9_0,4_1,9_2,4_2,9_1,9_0,1549313945.131772,1549313946.987836,4_1,False,1549313946.987894,1549313946.987894
1549313956.43,1549313958.22,5_0,6_0,1_2,5_1,1_1,5_0,6_0,1_2,5_1,1_1,5_0,6_0,1_2,5_1,1_1,1549313955.977864,1549313959.60229,6_0,False,1549313959.602344,1549313959.602344
1549313963.98,1549313965.16,6_3,6_0,10_3,5_0,5_2,6_3,6_0,10_3,5_0,5_2,6_3,6_0,10_3,5_0,6_2,1549313962.896111,1549313964.768094,6_3,False,1549313964.76816,1549313964.76816
1549313987.63,1549313989.21,1_1,2_1,5_0,1_2,6_3,1_1,2_1,5_0,1_2,6_3,1_1,2_1,5_0,1_2,6_3,1549313986.945765,1549313990.739521,5_0,False,1549313990.73957,1549313990.73957
1549313994.69,1549313995.81,5_1,6_1,1_2,10_3,6_0,5_1,6_1,1_2,10_3,6_0,5_1,6_1,1_2,10_3,6_0,1549313993.537264,1549313995.52355,5_1,False,1549313995.523609,1549313995.523609
1549313999.93,1549314001.63,1_1,5_0,6_0,1_2,6_3,1_1,5_0,6_0,1_2,6_3,1_1,5_0,6_0,1_2,6_3,1549313999.365034,1549314001.025832,1_1,False,1549314001.025893,1549314001.025893
1549314008.93,1549314010.63,1_1,6_3,6_0,5_0,5_1,1_1,6_3,6_0,5_0,5_1,1_1,6_3,6_0,5_0,5_1,1549314008.36605,1549314009.991218,1_1,False,1549314009.991282,1549314009.991282
1549314032.4,1549314034.37,4_1,9_2,4_2,9_1,9_0,4_1,9_2,4_2,9_1,9_0,4_1,9_2,4_2,9_1,9_0,1549314032.099398,1549314033.806947,4_1,False,1549314033.806997,1549314033.806997
1549314041.99,1549314043.54,4_1,4_2,9_1,9_2,9_0,4_1,4_2,9_1,9_2,9_0,4_1,4_2,9_1,9_2,9_0,1549314041.270516,1549314043.086925,4_1,False,1549314043.086979,1549314043.086979
1549314049.87,1549314051.37,6_0,6_3,5_0,1_1,10_3,6_0,6_3,5_0,1_1,10_3,6_0,6_3,5_0,1_1,10_3,1549314049.099488,1549314052.782572,6_0,False,1549314052.782625,1549314052.782625
1549314065.13,1549314066.69,6_3,10_3,1_1,5_0,9_1,6_3,10_3,1_1,5_0,9_1,6_3,10_3,1_1,5_0,9_1,1549314064.421042,1549314066.043371,6_3,False,1549314066.043542,1549314066.043542
1549314073.84,1549314075.13,6_3,10_3,5_0,6_0,1_1,6_3,10_3,5_0,6_0,1_1,6_3,10_3,5_0,6_0,1_1,1549314072.861591,1549314074.474893,6_3,False,1549314074.474954,1549314074.474954
1549314084.93,1549314086.81,5_0,1_1,6_0,6_3,2_1,5_0,1_1,6_0,6_3,2_1,5_0,1_1,6_0,6_3,2_1,1549314084.536389,1549314086.752308,5_0,False,1549314086.752359,1549314086.752359
1549314090.66,1549314091.84,5_1,6_1,6_0,6_3,5_2,5_1,6_1,6_0,6_3,5_2,5_1,6_1,6_0,6_3,5_2,1549314089.568924,1549314091.752773,5_1,False,1549314091.752969,1549314091.752969
1549314106.6,1549314108.34,1_1,5_0,1_2,6_0,6_3,1_1,5_0,1_2,6_0,6_3,1_1,5_0,1_2,6_0,6_3,1549314106.067942,1549314107.905038,1_1,False,1549314107.905093,1549314107.905093
1549314116.66,1549314119.49,4_2,9_1,4_1,9_2,9_0,4_2,9_1,4_1,9_2,9_0,4_2,9_1,4_1,9_2,9_0,1549314117.244831,1549314120.43809,4_1,False,1549314120.438147,1549314120.438147
1549314130.04,1549314131.54,4_1,9_1,4_2,9_2,9_0,4_1,9_1,4_2,9_2,9_0,4_1,9_1,4_2,9_2,9_0,1549314129.269955,1549314133.722556,4_1,False,1549314133.72261,1549314133.72261
1549314140.1,1549314141.37,6_0,5_0,5_1,6_3,1_1,6_0,5_0,5_1,6_3,1_1,6_0,5_0,5_1,6_3,1_1,1549314139.09579,1549314141.685379,6_0,False,1549314141.685429,1549314141.685429
1549314145.9,1549314147.1,10_3,6_3,6_0,5_0,1_1,10_3,6_3,6_0,5_0,1_1,10_3,6_3,6_0,5_0,1_1,1549314144.831122,1549314147.89259,6_3,False,1549314147.892755,1549314147.892755
1549314155.66,1549314157.34,1_1,6_3,5_0,6_0,5_1,1_1,6_3,5_0,6_0,5_1,1_1,6_3,5_0,6_0,6_1,1549314155.068008,1549314157.070158,1_1,False,1549314157.070215,1549314157.070215
1549314192.48,1549314195.1,9_0,9_2,6_4,5_2,2_2,9_0,9_2,6_4,5_2,2_2,9_0,9_2,6_4,5_2,2_2,1549314192.832654,1549314195.346369,9_0,False,1549314195.346461,1549314195.346461
1549314203.27,1549314205.93,9_1,4_1,9_2,4_2,5_2,9_1,4_1,9_2,4_2,5_2,9_1,4_1,9_2,4_2,5_2,1549314203.67846,1549314205.87957,9_1,False,1549314205.879661,1549314205.879661
1549314219.13,1549314220.99,9_1,9_2,4_1,4_2,6_3,9_1,9_2,4_1,4_2,6_3,9_1,9_2,4_1,4_2,6_3,1549314218.736892,1549314220.542912,9_1,False,1549314220.542972,1549314220.542972
1549314230.13,1549314232.07,9_2,9_0,6_4,2_2,6_2,9_2,9_0,6_4,2_2,6_2,9_2,9_0,6_4,2_2,6_2,1549314229.800894,1549314231.534688,9_2,False,1549314231.534751,1549314231.534751
1549314240.3,1549314242.87,9_0,9_2,6_4,5_2,2_2,9_0,9_2,6_4,5_2,2_2,9_0,9_2,6_4,5_2,2_2,1549314240.599615,1549314242.991843,9_0,False,1549314242.991889,1549314242.991889
1549314247.57,1549314249.63,9_2,9_0,4_2,6_4,2_2,9_2,9_0,4_2,6_4,2_2,9_2,9_0,4_2,6_4,2_2,1549314247.360973,1549314249.895615,9_2,False,1549314249.895781,1549314249.895781
