1549291006.35,1549291008.7,4_2,3_1,4_1,11_1,11_2,4_2,3_1,4_1,11_1,11_2,4_2,3_1,4_1,11_1,11_2,1549291006.859486,1549291010.95871,3_1,False,1549291010.958757,1549291010.958757
1549291020.79,1549291023.99,9_0,6_3,1_1,10_2,10_3,10_0,6_3,1_1,10_2,10_3,11_0,10_0,6_3,1_1,10_2,1549291022.179635,1549291027.095962,1_1,False,1549291027.096011,1549291027.096011
1549291033.85,1549291034.99,1_1,6_3,5_3,5_1,9_0,1_1,6_3,10_1,5_1,10_0,1_1,6_3,10_1,5_1,10_0,1549291033.173826,1549291035.528172,1_1,False,1549291035.528221,1549291035.528221
1549291041.59,1549291042.88,1_1,6_3,9_0,5_3,5_1,1_1,6_3,10_0,10_1,5_1,1_1,6_3,10_0,10_1,5_1,1549291041.08137,1549291043.072462,1_1,False,1549291043.072507,1549291043.072507
1549291049.76,1549291050.94,5_3,1_1,9_0,5_1,6_3,10_1,1_1,10_0,5_1,6_3,10_1,1_1,10_0,5_1,6_3,1549291049.141742,1549291050.904457,10_1,False,1549291053.541603,1549291053.541603
1549291057.12,1549291058.49,6_3,1_1,9_0,5_3,5_1,6_3,1_1,10_0,10_1,5_1,6_3,1_1,10_0,10_1,5_1,1549291056.673959,1549291059.431755,1_1,False,1549291059.431803,1549291059.431803
1549291068.49,1549291069.85,9_0,6_4,10_3,1_2,5_2,10_0,6_4,10_3,1_2,5_2,11_0,10_0,6_4,10_3,1_2,1549291068.03271,1549291072.864247,1_2,False,1549291072.864304,1549291072.864304
1549291100.02,1549291101.29,6_4,1_2,9_0,5_2,6_2,6_4,1_2,10_0,5_2,6_2,6_4,1_2,10_0,5_2,6_2,1549291099.469271,1549291102.104281,1_2,False,1549291102.104329,1549291102.104329
1549291116.26,1549291118.09,9_0,5_3,1_1,6_4,1_2,10_0,10_1,1_1,6_4,1_2,11_0,10_0,10_1,1_1,6_4,1549291116.267361,1549291124.600971,6_4,False,1549291124.601017,1549291124.601017
1549291148.88,1549291149.88,9_0,5_1,5_3,10_3,1_1,10_0,5_1,10_1,10_3,1_1,11_0,10_0,5_1,10_1,10_3,1549291148.080752,1549291153.048377,5_1,False,1549291153.048422,1549291153.048422
1549291159.35,1549291160.32,9_0,5_1,5_3,10_2,10_3,10_0,5_1,10_1,10_2,10_3,11_0,10_0,5_1,10_1,10_2,1549291158.498945,1549291160.975959,10_0,False,1549291160.976,1549291160.976
1549291164.85,1549291166.15,9_0,5_1,1_1,5_3,6_3,10_0,5_1,1_1,10_1,6_3,11_0,10_0,5_1,1_1,10_1,1549291164.322308,1549291174.185753,10_0,False,1549291174.185798,1549291174.185798
1549291177.88,1549291178.99,9_0,5_3,5_1,10_3,6_4,10_0,10_1,5_1,10_3,6_4,11_0,10_0,10_1,5_1,10_3,1549291177.170309,1549291197.18979,10_2,True,1549291197.189879,1549291197.189879
1549291222.12,1549291223.26,5_3,5_2,1_1,9_0,6_3,10_1,5_2,1_1,10_0,6_3,10_1,5_2,1_1,10_0,6_3,1549291221.435632,1549291225.338087,5_2,False,1549291225.338142,1549291225.338142
1549291231.65,1549291233.88,4_2,11_1,11_2,4_1,5_1,4_2,11_1,11_2,4_1,5_1,4_2,11_1,11_2,4_1,5_1,1549291232.082495,1549291235.83347,4_1,False,1549291235.833517,1549291235.833517
1549291268.93,1549291271.19,4_1,11_2,4_2,11_1,3_1,4_1,11_2,4_2,11_1,3_1,4_1,11_2,4_2,11_1,3_1,1549291269.353837,1549291276.03392,3_1,False,1549291276.033966,1549291276.033966
1549291294.68,1549291296.88,5_3,9_0,5_1,6_2,10_3,10_1,10_0,5_1,6_2,10_3,10_1,10_0,5_1,6_2,10_3,1549291295.078008,1549291300.098419,6_2,False,1549291300.098463,1549291300.098463
1549291310.38,1549291312.05,9_0,10_3,5_1,6_1,10_2,10_0,10_3,5_1,6_1,10_2,11_0,10_0,10_3,5_1,6_1,1549291310.234414,1549291314.266474,6_1,False,1549291314.266518,1549291314.266518
1549291323.17,1549291324.73,9_0,5_1,5_3,6_3,10_2,10_0,5_1,10_1,6_3,10_2,11_0,10_0,5_1,10_1,6_3,1549291322.902352,1549291326.362701,6_3,False,1549291326.362747,1549291326.362747
1549291335.12,1549291336.59,9_0,6_4,5_1,5_3,5_2,10_0,6_4,5_1,10_1,5_2,11_0,10_0,6_4,5_1,10_1,1549291334.760943,1549291337.170988,6_4,False,1549291337.171036,1549291337.171036
1549291356.52,1549291357.46,9_0,5_1,5_3,10_3,10_2,10_0,5_1,10_1,10_3,10_2,11_0,10_0,5_1,10_1,10_3,1549291355.614031,1549291366.003192,10_3,False,1549291372.909452,1549291372.909452
1549291377.26,1549291378.05,9_0,5_1,5_3,6_4,10_3,10_0,5_1,10_1,6_4,10_3,11_0,10_0,5_1,10_1,6_4,1549291376.22983,1549291381.061268,10_0,False,1549291381.061308,1549291381.061308
1549291378.71,1549291379.82,9_0,5_1,5_3,10_3,10_2,10_0,5_1,10_1,10_3,10_2,11_0,10_0,5_1,10_1,10_3,1549291381.06992,1549291414.371771,10_0,False,1549291414.371813,1549291414.371813
