1553704888.54,1553704891.15,3_2,4_1,11_1,11_2,1_1,3_2,4_1,11_1,11_2,1_1,3_2,4_1,11_1,11_2,1_1,1553704890.946264,1553704894.032213,3_2,False,1553704894.032531,1553704894.032531
1553704936.3,1553704938.24,10_2,9_0,10_3,5_3,1_1,10_2,10_0,10_3,10_1,1_1,10_2,10_0,10_3,10_1,1_1,1553704938.036235,1553704945.629932,10_0,False,1553704945.630116,1553704945.630116
1553704947.88,1553704949.85,5_3,10_2,9_0,10_3,5_2,10_1,10_2,10_0,10_3,5_2,10_1,10_2,10_0,10_3,5_2,1553704949.64644,1553704956.598462,10_3,False,1553704956.598525,1553704956.598525
1553704979.94,1553704981.27,5_2,1_1,5_3,1_2,6_3,5_2,1_1,10_1,1_2,6_3,5_2,1_1,10_1,1_2,6_3,1553704981.055783,1553704984.345777,5_2,False,1553704984.345834,1553704984.345834
1553704986.65,1553704988.14,1_2,6_4,6_2,9_0,5_2,1_2,6_4,6_2,10_0,5_2,1_2,6_4,6_2,10_0,5_2,1553704987.939069,1553704989.676565,1_2,False,1553704989.676618,1553704989.676618
1553704996.51,1553704998.18,6_4,1_2,9_0,10_3,6_2,6_4,1_2,10_0,10_3,6_2,6_4,1_2,10_0,10_3,6_2,1553704997.970151,1553705002.265031,1_2,False,1553705002.265202,1553705002.265202
1553705019.8,1553705021.61,4_1,11_1,11_2,3_1,4_2,4_1,11_1,11_2,3_1,4_2,4_1,11_1,11_2,3_1,4_2,1553705021.408359,1553705023.291992,4_1,False,1553705023.292143,1553705023.292143
1553705036.91,1553705038.97,6_4,1_2,10_3,6_2,10_2,6_4,1_2,10_3,6_2,10_2,6_4,1_2,10_3,6_2,10_2,1553705038.768916,1553705041.712379,1_2,False,1553705041.712431,1553705041.712431
1553705048.38,1553705050.61,1_1,6_3,5_3,5_2,9_0,1_1,6_3,10_1,5_2,10_0,1_1,6_3,10_1,5_2,10_0,1553705050.408751,1553705052.183239,1_1,False,1553705052.183291,1553705052.183291
1553705056.8,1553705058.97,1_1,6_3,5_3,5_2,10_2,1_1,6_3,10_1,5_2,10_2,1_1,6_3,10_1,5_2,10_2,1553705058.768308,1553705060.508042,1_1,False,1553705060.508199,1553705060.508199
1553705067.91,1553705070.18,1_1,6_3,5_3,5_2,9_0,1_1,6_3,10_1,5_2,10_0,1_1,6_3,10_1,5_2,10_0,1553705069.968586,1553705071.562696,1_1,False,1553705071.562766,1553705071.562766
1553705077.44,1553705079.71,1_1,6_3,5_3,6_1,5_1,1_1,6_3,10_1,6_1,5_1,1_1,6_3,10_1,6_1,5_1,1553705079.500997,1553705080.989945,1_1,False,1553705080.989997,1553705080.989997
1553705092.41,1553705094.32,11_2,11_1,4_1,4_2,5_2,11_2,11_1,4_1,4_2,5_2,11_2,11_1,4_1,4_2,5_2,1553705094.110459,1553705097.353127,4_1,False,1553705097.353182,1553705097.353182
1553705104.56,1553705106.21,11_2,11_1,4_1,4_2,6_2,11_2,11_1,4_1,4_2,6_2,11_2,11_1,4_1,4_2,6_2,1553705105.99992,1553705113.711294,4_2,False,1553705113.711345,1553705113.711345
1553705125.35,1553705127.27,6_4,1_2,6_2,9_0,5_2,6_4,1_2,6_2,10_0,5_2,6_4,1_2,6_2,10_0,5_2,1553705127.062417,1553705129.046872,6_4,False,1553705129.046934,1553705129.046934
1553705145.94,1553705147.56,5_1,1_1,6_3,5_3,9_0,5_1,1_1,6_3,10_1,10_0,5_1,1_1,6_3,10_1,10_0,1553705147.37398,1553705150.143832,5_1,False,1553705150.144,1553705150.144
1553705181.51,1553705184.38,11_1,11_2,4_1,4_2,1_1,11_1,11_2,4_1,4_2,1_1,11_1,11_2,4_1,4_2,1_1,1553705184.174253,1553705196.27247,3_1,True,1553705196.272563,1553705196.272563
1553705205.97,1553705208.0,1_2,6_4,6_2,10_3,3_2,1_2,6_4,6_2,10_3,3_2,1_2,6_4,6_2,10_3,3_2,1553705207.793349,1553705212.704719,1_2,False,1553705212.704884,1553705212.704884
1553705220.83,1553705222.61,4_1,11_2,11_1,3_1,3_2,4_1,11_2,11_1,3_1,3_2,4_1,11_2,11_1,3_1,3_2,1553705222.402936,1553705224.289576,4_1,False,1553705224.289737,1553705224.289737
1553705236.3,1553705237.97,5_1,6_3,5_3,1_1,9_0,5_1,6_3,10_1,1_1,10_0,5_1,6_3,10_1,1_1,10_0,1553705237.759714,1553705240.07222,5_1,False,1553705240.072459,1553705240.072459
1553705249.44,1553705251.53,11_2,11_1,3_1,4_1,4_2,11_2,11_1,3_1,4_1,4_2,11_2,11_1,3_1,4_1,4_2,1553705251.315637,1553705255.235126,4_1,False,1553705255.235273,1553705255.235273
1553705261.47,1553705263.09,4_1,11_1,11_2,3_1,4_2,4_1,11_1,11_2,3_1,4_2,4_1,11_1,11_2,3_1,4_2,1553705262.901157,1553705264.598858,4_1,False,1553705264.598926,1553705264.598926
1553705284.71,1553705287.0,1_1,6_3,5_3,5_2,3_2,1_1,6_3,10_1,5_2,3_2,1_1,6_3,10_1,5_2,3_2,1553705286.791131,1553705291.028059,6_3,False,1553705291.028114,1553705291.028114
1553705300.21,1553705302.18,1_1,6_3,5_3,5_2,9_0,1_1,6_3,10_1,5_2,10_0,1_1,6_3,10_1,5_2,10_0,1553705301.964312,1553705304.128263,6_3,False,1553705304.128339,1553705304.128339
1553705310.08,1553705312.09,1_1,6_3,5_3,5_2,10_2,1_1,6_3,10_1,5_2,10_2,1_1,6_3,10_1,5_2,10_2,1553705311.90104,1553705314.073657,6_3,False,1553705314.073716,1553705314.073716
1553705334.41,1553705335.77,11_2,11_1,4_2,4_1,5_2,11_2,11_1,4_2,4_1,5_2,11_2,11_1,4_2,4_1,5_2,1553705335.545571,1553705352.444486,11_2,False,1553705358.607442,1553705358.607442
1553705379.86,1553705381.64,10_2,10_3,9_0,5_3,6_4,10_2,10_3,10_0,10_1,6_4,10_2,10_3,10_0,10_1,6_4,1553705381.43083,1553705408.033127,11_0,True,1553705408.033234,1553705408.033234
1553705414.15,1553705415.44,11_2,11_1,4_2,4_1,5_2,11_2,11_1,4_2,4_1,5_2,11_2,11_1,4_2,4_1,5_2,1553705415.22433,1553705417.457641,11_2,False,1553705417.457721,1553705417.457721
1553705425.38,1553705426.57,11_2,11_1,4_2,6_2,5_2,11_2,11_1,4_2,6_2,5_2,11_2,11_1,4_2,6_2,5_2,1553705426.340986,1553705431.958103,11_1,False,1553705431.958173,1553705431.958173
